goos: linux
goarch: amd64
pkg: github.com/awslabs/aws-glue-schema-registry/multilang-schema-registry/golang/pkg/gsrserde-go/core
cpu: Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz
BenchmarkEncoderCacheHit/AVRO/small_100B-48         	 5017598	       468.2 ns/op	 213.59 MB/s	     184 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/small_100B-48         	 5234851	       458.7 ns/op	 217.99 MB/s	     184 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/small_100B-48         	 5288835	       467.8 ns/op	 213.76 MB/s	     184 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/small_100B-48         	 5224797	       484.3 ns/op	 206.50 MB/s	     184 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/small_100B-48         	 4472030	       476.5 ns/op	 209.85 MB/s	     184 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/medium_10KB-48        	  625368	      3707 ns/op	2761.99 MB/s	   10965 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/medium_10KB-48        	  613933	      3681 ns/op	2782.22 MB/s	   10965 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/medium_10KB-48        	  602917	      3652 ns/op	2804.11 MB/s	   10965 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/medium_10KB-48        	  638402	      3709 ns/op	2760.51 MB/s	   10965 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/medium_10KB-48        	  598453	      3715 ns/op	2756.07 MB/s	   10965 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/large_1MB-48          	    5148	    450206 ns/op	2329.10 MB/s	 1058337 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/large_1MB-48          	    5196	    460068 ns/op	2279.17 MB/s	 1058347 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/large_1MB-48          	    5278	    451985 ns/op	2319.94 MB/s	 1058341 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/large_1MB-48          	    4905	    446164 ns/op	2350.20 MB/s	 1058335 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/AVRO/large_1MB-48          	    5558	    446275 ns/op	2349.62 MB/s	 1058326 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/small_100B-48         	 5299340	       458.8 ns/op	 217.95 MB/s	     184 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/small_100B-48         	 5287822	       454.6 ns/op	 219.97 MB/s	     184 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/small_100B-48         	 5285341	       454.9 ns/op	 219.81 MB/s	     184 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/small_100B-48         	 5259349	       468.3 ns/op	 213.55 MB/s	     184 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/small_100B-48         	 5253469	       461.4 ns/op	 216.74 MB/s	     184 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/medium_10KB-48        	  680360	      3523 ns/op	2906.46 MB/s	   10964 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/medium_10KB-48        	  679723	      3636 ns/op	2816.32 MB/s	   10964 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/medium_10KB-48        	  637158	      3513 ns/op	2915.14 MB/s	   10964 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/medium_10KB-48        	  702696	      3744 ns/op	2734.68 MB/s	   10964 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/medium_10KB-48        	  564282	      3745 ns/op	2734.34 MB/s	   10965 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/large_1MB-48          	    5582	    462055 ns/op	2269.37 MB/s	 1058336 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/large_1MB-48          	    5143	    459872 ns/op	2280.15 MB/s	 1058341 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/large_1MB-48          	    4676	    474115 ns/op	2211.65 MB/s	 1058333 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/large_1MB-48          	    4876	    487146 ns/op	2152.49 MB/s	 1058359 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/JSON/large_1MB-48          	    5078	    450887 ns/op	2325.59 MB/s	 1058337 B/op	       4 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/small_100B-48     	   43704	     54729 ns/op	   1.83 MB/s	   36868 B/op	     229 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/small_100B-48     	   43165	     54912 ns/op	   1.82 MB/s	   36864 B/op	     229 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/small_100B-48     	   43072	     56145 ns/op	   1.78 MB/s	   36862 B/op	     229 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/small_100B-48     	   43356	     55340 ns/op	   1.81 MB/s	   36861 B/op	     229 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/small_100B-48     	   43603	     53967 ns/op	   1.85 MB/s	   36858 B/op	     229 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/medium_10KB-48    	   36819	     65100 ns/op	 157.30 MB/s	   58458 B/op	     229 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/medium_10KB-48    	   37418	     66541 ns/op	 153.89 MB/s	   58457 B/op	     229 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/medium_10KB-48    	   36960	     64947 ns/op	 157.67 MB/s	   58454 B/op	     229 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/medium_10KB-48    	   37137	     64648 ns/op	 158.40 MB/s	   58451 B/op	     229 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/medium_10KB-48    	   37120	     64262 ns/op	 159.35 MB/s	   58450 B/op	     229 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/large_1MB-48      	    2713	    894013 ns/op	1172.89 MB/s	 2152308 B/op	     230 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/large_1MB-48      	    2650	    907520 ns/op	1155.43 MB/s	 2152293 B/op	     230 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/large_1MB-48      	    2406	    866960 ns/op	1209.49 MB/s	 2152299 B/op	     230 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/large_1MB-48      	    2547	    865667 ns/op	1211.29 MB/s	 2152311 B/op	     230 allocs/op
BenchmarkEncoderCacheHit/PROTOBUF/large_1MB-48      	    2697	    852261 ns/op	1230.35 MB/s	 2152266 B/op	     230 allocs/op
BenchmarkEncoderCacheMiss/AVRO/small_100B-48        	   74767	     33634 ns/op	   2.97 MB/s	    7385 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/AVRO/small_100B-48        	   66958	     38226 ns/op	   2.62 MB/s	    7382 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/AVRO/small_100B-48        	   75612	     32973 ns/op	   3.03 MB/s	    7358 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/AVRO/small_100B-48        	   70279	     33217 ns/op	   3.01 MB/s	    7379 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/AVRO/small_100B-48        	   68182	     33057 ns/op	   3.03 MB/s	    7373 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/AVRO/medium_10KB-48       	   64980	     35789 ns/op	 286.12 MB/s	   18396 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/AVRO/medium_10KB-48       	   65888	     38833 ns/op	 263.70 MB/s	   18381 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/AVRO/medium_10KB-48       	   62151	     36467 ns/op	 280.80 MB/s	   18376 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/AVRO/medium_10KB-48       	   62863	     46612 ns/op	 219.68 MB/s	   18386 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/AVRO/medium_10KB-48       	   58550	     39152 ns/op	 261.54 MB/s	   18383 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/AVRO/large_1MB-48         	    4320	    553855 ns/op	1893.23 MB/s	 1072979 B/op	      81 allocs/op
BenchmarkEncoderCacheMiss/AVRO/large_1MB-48         	    4216	    566935 ns/op	1849.55 MB/s	 1072960 B/op	      81 allocs/op
BenchmarkEncoderCacheMiss/AVRO/large_1MB-48         	    3886	    572828 ns/op	1830.53 MB/s	 1072860 B/op	      81 allocs/op
BenchmarkEncoderCacheMiss/AVRO/large_1MB-48         	    5071	    561168 ns/op	1868.56 MB/s	 1073040 B/op	      81 allocs/op
BenchmarkEncoderCacheMiss/AVRO/large_1MB-48         	    4068	    563457 ns/op	1860.97 MB/s	 1072995 B/op	      81 allocs/op
BenchmarkEncoderCacheMiss/JSON/small_100B-48        	   65524	     37231 ns/op	   2.69 MB/s	    7380 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/JSON/small_100B-48        	   66586	     36979 ns/op	   2.70 MB/s	    7385 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/JSON/small_100B-48        	   63631	     36283 ns/op	   2.76 MB/s	    7374 B/op	      80 allocs/op
BenchmarkEncoderCacheMiss/JSON/small_100B-48        	   65887	     35520 ns/op	   2.82 MB/s	    7362 B/op	      80 allocs/op
